Time,Latitude,Longitude,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC,counts
1712962387.07,0,0,0.0,1.0,1.0,25.61544921875,31.156000490916448,997.7404082245223,129.93563618445083,16688.0,9.0
1712962392.07,0,0,0.5,1.5,1.5,25.93537109375,30.825254605226604,997.4466664638808,132.41225768871448,21660.5,7.0
1712962397.1,0,0,1.0,2.0,2.0,25.94376953125,30.34310813233937,997.3322870054793,133.37678665503256,26235.0,8.6
1712962402.03,0,0,0.5,1.5,1.5,25.771601562500003,30.356612052361207,997.3071592966128,133.58869363876937,28459.0,10.4
1712962407.05,0,0,1.0,2.0,2.0,25.60119140625,30.32210013216415,997.3219148972153,133.4642561531961,30576.0,12.6
1712962412.05,0,0,1.0,1.5,1.5,25.38771484375,30.275440890533275,997.292635726122,133.7111757784677,33307.5,13.4
1712962417.11,0,0,1.0,1.0,1.0,25.28908203125,30.536178258876237,997.2827433091993,133.79460267710232,35064.0,9.8
1712962422.06,0,0,1.0,1.0,1.0,25.017695312500003,30.572319116521527,997.282583452135,133.79595082834618,37695.5,15.8
1712962427.07,0,0,0.0,1.0,1.0,24.77482421875,30.596755851092027,997.2726698539325,133.87955704406036,39139.0,11.4
1712962432.02,0,0,0.0,1.0,1.0,24.56828125,30.715062291495467,997.25884750405,133.99612887740932,40698.0,14.2
1712962437.07,0,0,0.0,1.0,1.0,24.3255078125,30.969372226289178,997.2821950632942,133.79922630279194,42665.0,13.4
1712962442.02,0,0,0.0,1.0,1.0,24.15197265625,31.184478103141704,997.2773808686278,133.83982670334092,43801.0,13.4
1712962447.06,0,0,0.0,1.0,1.0,23.919453124999997,31.46582021529402,997.2744339201374,133.86467977087108,45611.0,12.0
1712962452.06,0,0,0.0,0.0,0.0,23.80138671875,31.62926797356546,997.2872998037203,133.75617576661767,46782.5,14.2
1712962457.02,0,0,0.0,0.0,0.0,23.6940625,31.75099750549168,997.2913694031772,133.721855186337,47754.0,12.8
