Time,Temperature,Gas,Humidity,Pressure,Altitude,PM1.0,PM2.5,PM10
1708126131.9308262,28.902460937500003,28710,100,690.817393097857,3116.3869722155296,1,2,2
1708126132.9413824,18.6012890625,6323,44.843065515315864,1008.0078357790892,43.736302755018485,1,2,2
1708126133.9519324,18.637421875,8632,44.77616913707095,1008.0013510603636,43.79051984406209,1,2,2
1708126134.9623218,18.6770703125,11340,44.662331789841495,1007.9971526849896,43.82562154666446,1,2,2
1708126135.9727585,18.7128125,14205,44.524441187521454,1007.9969099944844,43.82765063276555,1,2,2
1708126136.9842598,18.74484375,17190,44.39213237304863,1008.0043911391513,43.76510248097588,1,2,2
1708126137.995776,18.7721875,20171,44.25346787676865,1008.0042168389023,43.76655976149994,1,2,2
1708126139.0071735,18.795625,23008,44.1557786448444,1008.0114513485539,43.706074018088266,1,2,2
1708126140.018807,18.8153515625,25939,44.04591249028006,1008.014350261973,43.68183709975201,1,2,2
1708126141.030318,18.8329296875,28789,43.959452664279944,1008.020635389954,43.62928928280549,1,2,2
1708126142.0417917,18.8471875,31422,43.88444141688223,1008.0197763200905,43.63647165803822,1,2,2
1708126143.0533102,18.8587109375,33913,43.80325543629486,1008.0196243971442,43.63774183185967,1,2,2
1708126144.0647194,18.8688671875,36260,43.757288622162,1008.0206878487002,43.628850694190064,1,2,2
1708126145.0763998,18.8778515625,38527,43.705310322219916,1008.0215619399772,43.62154273569697,1,2,2
1708126146.0879793,18.8860546875,40696,43.67091932433774,1008.0159892591427,43.66813397640737,1,2,2
1708126147.099422,18.89328125,42685,43.66585770034728,1008.0191650397745,43.64158235669262,1,2,2
1708126148.1107972,18.9003125,44640,43.63133982747966,1008.0237456973281,43.60328515905092,1,2,2
1708126149.1221542,18.906171875,46471,43.596694631318286,1008.0264136006955,43.580979862505096,1,2,2
1708126150.1326978,18.9106640625,48208,43.5677841086851,1008.0234023252855,43.60615596186935,1,2,2
1708126151.1430924,18.9141796875,49754,43.54465011204799,1008.0256924806414,43.587008860507574,1,2,2
1708126152.1536455,18.9180859375,51593,43.498034905330094,1008.0217247044599,43.620181921763184,1,2,2
