Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712969751.62,0,0,23.4,3.6,5.0,5.0,25.149218749999996,36.9614511692893,1007.3278096537597,49.423367450569415,100379.2
1712969756.62,0,0,26.8,3.6,5.0,5.0,25.28765625,36.648827312478986,1007.3318554264686,49.38952345912692,106087.0
1712969761.67,0,0,26.6,3.0,5.0,5.0,25.343359375,36.65560030011331,1007.3312672135905,49.39444408863143,98264.2
1712969766.65,0,0,26.6,3.0,5.0,5.0,25.521601562500003,36.31322402550027,1007.3097210740668,49.574684922026805,120616.8
1712969771.64,0,0,27.4,3.0,5.0,5.0,25.6758203125,35.981993689998035,1007.3007094620083,49.650071009428416,131859.8
1712969776.62,0,0,24.4,3.0,5.0,5.0,25.80375,35.63934605983108,1007.2978396603739,49.67407827333991,139347.4
1712969781.65,0,0,25.2,3.0,5.0,5.4,25.912031249999995,35.28014578482252,1007.3057091251361,49.608246578671235,144781.0
1712969786.62,0,0,25.8,3.0,5.0,5.4,25.984648437500006,34.98140362930854,1007.3018916354006,49.64018154405535,148582.8
1712969791.65,0,0,30.0,3.0,5.0,6.0,26.042148437499996,34.730798486423254,1007.2828190851533,49.799733789557486,151890.8
1712969796.62,0,0,22.4,3.0,5.0,6.0,26.099453125000004,34.55292184542812,1007.2699796604381,49.90714359845107,154723.8
1712969801.65,0,0,27.4,3.0,5.6,6.6,26.093593750000004,34.436814468322595,1007.289230635684,49.74609751914666,157781.2
1712969806.62,0,0,27.4,3.0,5.6,6.6,26.1518359375,34.37474659392062,1007.2811156272383,49.813984079048886,157991.0
1712969811.68,0,0,28.4,3.0,5.6,6.0,26.23515625,34.30460662660213,1007.2760771219266,49.856134340169014,159464.6
1712969816.65,0,0,28.4,3.0,5.6,6.0,26.283749999999998,34.1845498641557,1007.2849136817234,49.78221106798337,160996.6
1712969821.62,0,0,27.4,3.0,5.6,6.0,26.362578125,34.08841253286585,1007.2822843819546,49.80420670407942,161525.2
1712969826.65,0,0,24.8,3.0,5.6,6.0,26.430117187500002,33.98425466478293,1007.2944312471172,49.70259139276949,162118.4
1712969831.62,0,0,25.2,3.0,5.6,6.0,26.516953125000004,33.90059401852909,1007.2896726463154,49.74239969663715,162748.4
1712969836.65,0,0,25.4,3.0,5.0,6.0,26.5846484375,33.78375583420778,1007.270687190669,49.90122466455484,164512.4
1712969841.62,0,0,25.0,3.0,5.0,6.0,26.62234375,33.64904068606915,1007.2781182306304,49.83905924825826,165489.2
1712969846.64,0,0,26.2,4.8,7.0,7.2,26.662421874999996,33.520456258250775,1007.2929042258302,49.71536579529267,165980.6
1712969851.62,0,0,25.8,4.8,7.0,7.2,26.704804687499994,33.41770246629397,1007.3003482391129,49.65309281157285,167467.0
1712969856.66,0,0,24.4,4.6,7.2,7.6,26.7519140625,33.307330276734135,1007.2914667680482,49.727390849097645,167347.2
1712969861.64,0,0,23.2,4.6,7.2,7.6,26.825117187500002,33.204103747994154,1007.2915629572093,49.72658614386221,167004.8
1712969866.66,0,0,23.2,3.8,6.0,6.0,26.83359375,33.13887419225339,1007.2876522538272,49.759301409586314,168111.2
1712969871.64,0,0,26.6,3.8,6.0,6.0,26.856328124999997,33.132893631836474,1007.2815545729638,49.81031203145302,168513.8
1712969876.66,0,0,24.6,3.0,6.0,6.0,26.882460937500003,33.10639154120044,1007.2807537943324,49.81701102364305,168900.4
1712969881.62,0,0,28.4,3.0,6.0,6.0,26.7012109375,33.00384704714973,1007.271047034136,49.898214301478674,171306.6
1712969886.61,0,0,24.0,2.6,4.8,5.6,26.7012109375,33.00384704714973,1007.271047034136,49.898214301478674,171306.6
1712969891.62,0,0,25.0,2.6,4.8,5.6,26.4123046875,33.08568984658576,1007.265524135803,49.944417178040524,172934.6
1712969896.65,0,0,26.0,2.6,4.0,4.4,26.184414062500004,33.378182809989276,1007.2562312484721,50.02215915132823,172400.4
1712969901.62,0,0,27.6,2.6,4.0,4.4,26.15546875,33.68974240710255,1007.2565662898105,50.0193562113542,171654.8
1712969906.65,0,0,28.0,3.0,4.6,5.0,26.184492187500002,33.83882962402656,1007.2610876422043,49.981531692024944,171481.6
1712969911.64,0,0,23.6,3.0,4.6,5.0,26.245546875000002,33.86669501941468,1007.2613411221959,49.97941120118885,172149.6
