Time,Temperature,Gas,Humidity,Pressure,Altitude,PM1.0,PM2.5,PM10
1708125202.0710843,28.902460937500003,47497,100,690.817393097857,3116.3869722155296,3,6,6
1708125203.0816777,18.548359375,1492,44.88431519729393,1008.0179006037573,43.65215386726373,3,6,6
1708125204.0922172,18.5813671875,1790,44.811119345568954,1008.0097691911647,43.72013804152988,3,6,6
1708125205.1027973,18.6184765625,2154,44.68513056463751,1008.0083284990953,43.73218325952152,3,6,6
1708125206.1133795,18.6534375,2514,44.558974382752446,1008.0050971773906,43.759199474988954,3,6,6
1708125207.1250498,18.68390625,2981,44.43238113625764,1007.9945265618785,43.84757805052162,3,6,6
1708125208.1366596,18.710078125,3377,44.31128486049954,1008.0010628193174,43.792929760920934,3,6,6
1708125209.148271,18.732734375,3809,44.195766422033294,1007.994964114977,43.84391975107083,3,6,6
1708125210.1598768,18.7505078125,4286,44.09746161827799,1007.9981263947789,43.817480560527486,3,6,6
1708125211.171519,18.7659375,4772,43.99304227134781,1008.0009085457317,43.79421960698866,3,6,6
1708125212.1831589,18.7809765625,5270,43.91811258235077,1008.0013286448683,43.790707254822294,3,6,6
1708125213.1947558,18.79328125,5791,43.842899990954464,1008.0024550478864,43.78128966435567,3,6,6
1708125214.206327,18.805,6323,43.779432441252816,1008.0043479665218,43.765463436445984,3,6,6
1708125215.217887,18.814375,6913,43.72160757066095,1008.009309077726,43.72398491804639,3,6,6
1708125216.2293422,18.8231640625,7499,43.669621098737636,1008.0115899328256,43.704915356580024,3,6,6
1708125217.2409694,18.8301953125,8135,43.61156375354099,1008.0127249625107,43.695425718833015,3,6,6
1708125218.2526217,18.837421875,8711,43.56531413175683,1008.0124549451696,43.697683250856386,3,6,6
1708125219.2642412,18.8430859375,9334,43.513016559077755,1008.0199763229998,43.634799504953534,3,6,6
1708125220.2757144,18.84875,9928,43.47249466102143,1008.011984607817,43.70161559811228,3,6,6
1708125221.2873657,18.8555859375,10603,43.44387353630565,1008.0162474832665,43.66597504996881,3,6,6
1708125222.2989924,18.8602734375,11170,43.41501244145773,1008.0170035844061,43.65965354115174,3,6,6
1708125223.3105977,18.8641796875,11816,43.39782235061912,1008.0113133090042,43.70722812547017,3,6,6
1708125224.3221388,18.8680859375,12418,43.36300305909165,1008.0090703508351,43.72598084568173,3,6,6
1708125225.3337035,18.8716015625,13037,43.33989753792878,1008.0044660043179,43.764476552215626,3,6,6
1708125226.3453166,18.8751171875,13658,43.31092003124618,1007.9998615537106,43.80297327140209,3,6,6
1708125227.3568711,18.8794140625,14282,43.29378406810317,1008.0068746259982,43.74433869448095,3,6,6
1708125228.3683302,18.881953125,14860,43.276450221264604,1008.0058474308904,43.752926800135825,3,6,6
1708125229.3799775,18.884296875,15486,43.259095896883935,1008.0113965017111,43.7065325761173,3,6,6
1708125230.3915544,18.88546875,16118,43.229865784080005,1008.008137839972,43.73377730744813,3,6,6
1708125231.4032326,18.886640625,16723,43.212383245894074,1008.0066029359057,43.746610222539516,3,6,6
1708125232.4146562,18.8880078125,17361,43.183183246100825,1008.0122819085778,43.69912995688901,3,6,6
1708125233.4263053,18.8891796875,17972,43.171575423293135,1008.0090232103788,43.72637497367373,3,6,6
1708125234.4379532,18.89015625,18562,43.1423381542911,1008.0037219385875,43.77069749962123,3,6,6
1708125235.4495997,18.8907421875,19174,43.11892986593277,1008.006402038237,43.74828987443372,3,6,6
1708125236.4610534,18.8926953125,19808,43.107414730286926,1008.011313548806,43.70722612056022,3,6,6
1708125237.4727912,18.8930859375,20407,43.083989138879126,1008.0171224721013,43.658659561231815,3,6,6
1708125238.4844184,18.8942578125,21064,43.06065510574993,1008.0155875259412,43.671492735643284,3,6,6
1708125239.495974,18.89640625,21585,43.06089793063917,1008.0018560212436,43.78629798403992,3,6,6
1708125240.5075126,18.89953125,22203,43.043653206950076,1008.0035086973495,43.77248035694841,3,6,6
1708125241.5190053,18.9020703125,22858,43.043940104797755,1007.9990335982819,43.809895625423245,3,6,6
1708125242.5306635,18.9044140625,23342,43.038339314982466,1007.9959634949871,43.835564126927736,3,6,6
1708125243.5422826,18.906171875,24063,43.04440357107481,1008.0022800187731,43.78275304100824,3,6,6
1708125244.553702,18.909296875,24628,43.033025537410374,1008.0022087505803,43.783348897423416,3,6,6
1708125245.5653105,18.9118359375,25221,43.033312402047606,1007.9977334689607,43.820765731248606,3,6,6
1708125246.5768154,18.9141796875,25763,43.033577206856165,1007.9998347553359,43.803197326674535,3,6,6
1708125247.5884101,18.9153515625,26413,43.01611418902512,1008.0000234696821,43.80161952796412,3,6,6
1708125248.599886,18.916328125,26904,43.022089438453236,1007.9981695653612,43.81711962036854,3,6,6
1708125249.6114914,18.917890625,27559,43.01053621858125,1007.9955480697175,43.83903741693021,3,6,6
1708125250.6230323,18.9200390625,28151,43.0107788660368,1007.9956066835898,43.83854735765763,3,6,6
1708125251.6346927,18.922578125,28612,42.99933662213647,1007.9980266597689,43.81831442402463,3,6,6
1708125252.646177,18.925703125,29109,43.00555394945782,1007.9996790185567,43.804499407453164,3,6,6
1708125253.657758,18.9270703125,29686,43.02916825747869,1007.9932909056547,43.85790914757548,3,6,6
1708125254.669219,18.9301953125,30134,43.04125261289972,1007.9983909696963,43.81526850547133,3,6,6
1708125255.6807609,18.9333203125,30731,43.07680475947923,1007.9965954470892,43.83028050034561,3,6,6
1708125256.6922584,18.93703125,31281,43.094826850004374,1007.9974800237733,43.822884734092355,3,6,6
1708125257.7038343,18.94015625,31828,43.124522049253336,1007.9956843826794,43.83789773059971,3,6,6
