Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1714174587.11,0,0,38.0,0.0,0.0,0.0,20.4347265625,46.45439890915848,1005.5369226557672,64.41545913359116,21370.2
1714174592.04,0,0,37.4,0.0,0.0,0.0,20.4347265625,46.45439890915848,1005.5369226557672,64.41545913359116,21370.2
1714174597.1,0,0,69.2,0.0,0.0,0.0,20.5455859375,46.29908106358721,1005.5185808303465,64.56911647209941,36249.2
1714174602.07,0,0,1307.8,0.0,0.0,0.0,20.606523437499998,45.963973704748405,1005.5016055454413,64.71132734051758,50130.0
1714174607.11,0,0,3147.0,0.0,0.0,0.0,20.6533203125,45.34758824710533,1005.4952708879975,64.76439669752008,63090.6
1714174612.07,0,0,1036.2,0.0,0.0,0.0,20.672421874999998,44.854896278723125,1005.491674240259,64.79452811040971,75024.6
1714174617.11,0,0,96.4,0.0,0.0,0.0,20.6451171875,44.55310576954615,1005.4881720019317,64.8238687354408,86123.6
1714174622.06,0,0,96.4,0.0,0.0,0.0,20.591445312500003,44.478009985551935,1005.509345699594,64.646483714266,95119.8
1714174627.15,0,0,66.2,0.0,0.0,0.0,20.5745703125,44.49582737774411,1005.5019902782851,64.7081043410448,103807.6
1714174632.07,0,0,55.8,0.0,0.0,0.0,20.574101562499997,44.58577464990078,1005.4756229969589,64.92900087395988,112819.8
1714174637.1,0,0,42.2,0.0,0.0,0.0,20.5806640625,44.6432479084328,1005.4657077197846,65.01206942765825,121564.0
1714174642.07,0,0,43.6,0.0,0.0,0.0,20.5951171875,44.647348693146604,1005.4540980587146,65.10933346818611,129912.0
1714174647.11,0,0,40.2,0.0,0.0,0.0,20.6078125,44.60561084449459,1005.4693319865431,64.98170576873463,137954.8
1714174652.07,0,0,34.6,0.0,0.0,0.0,20.6243359375,44.71235914650391,1005.4927406829302,64.7855938022186,144123.2
1714174657.1,0,0,34.8,0.0,0.0,0.2,20.6439453125,44.86521418495986,1005.4993305479687,64.73038636667255,150790.2
1714174662.07,0,0,40.4,0.0,0.0,0.2,20.6648828125,44.83670833626371,1005.5134195332097,64.61235503227888,156767.0
1714174667.11,0,0,31.6,0.0,0.0,1.0,20.69125,44.74461605093419,1005.5262808241775,64.50461016471272,162826.0
1714174672.07,0,0,31.6,0.0,0.0,1.0,20.7162890625,44.69560892506628,1005.5031135706846,64.69869376582193,168289.4
1714174677.11,0,0,36.4,0.0,0.0,1.0,20.753515625,44.65786516913742,1005.5088186194877,64.65089936254975,173916.8
1714174682.07,0,0,30.2,0.0,0.0,1.0,20.799140625,44.54830468446038,1005.5197532288825,64.55929452141544,179848.8
1714174687.11,0,0,36.0,0.0,0.2,1.0,20.8658984375,44.368481393528256,1005.5248363373003,64.51671100734056,184946.6
1714174692.07,0,0,34.0,0.0,0.2,1.0,20.927109374999997,44.162351850496655,1005.5197537457937,64.55929024711267,187904.6
1714174697.08,0,0,38.8,0.0,0.2,1.0,20.9675390625,44.03033439536216,1005.5127523125487,64.61794474696174,192539.4
1714174702.11,0,0,38.0,0.0,1.0,1.0,21.011249999999997,43.94548445235906,1005.5166711394002,64.5851147608037,195626.0
1714174707.08,0,0,34.8,0.0,1.0,1.0,21.049375,43.87847387674003,1005.5356622343137,64.42601822961639,199437.0
1714174712.1,0,0,34.4,0.0,0.0,1.0,21.074609375,43.84321046064232,1005.5438196446028,64.35768090347271,202180.0
1714174717.07,0,0,31.2,0.0,0.0,1.0,21.0937109375,43.85517813422605,1005.5387408766228,64.40022727298904,205357.6
1714174722.14,0,0,31.2,0.0,0.0,0.8,21.1205078125,43.90979274977847,1005.5442866485521,64.35376854960953,208425.2
1714174727.08,0,0,36.4,0.0,0.0,0.8,21.1566796875,43.928597307888246,1005.5468309609023,64.33245406382937,210794.6
1714174732.07,0,0,34.2,0.0,0.0,0.6,21.1566796875,43.928597307888246,1005.5468309609023,64.33245406382937,210794.6
1714174737.08,0,0,30.8,0.0,0.0,0.6,21.1855078125,43.89618375144454,1005.5392959712253,64.39557702195911,213424.6
1714174742.1,0,0,32.6,0.0,0.0,1.0,21.1993359375,43.79698066074909,1005.530632960766,64.46815042909388,217710.6
1714174747.08,0,0,28.2,0.0,0.0,1.0,21.2141796875,43.66111220609477,1005.5268137955597,64.50014502876381,220926.0
1714174752.1,0,0,37.0,0.0,0.6,1.0,21.258945312499996,43.58879416907865,1005.5345089897515,64.43567933586779,223346.2
1714174757.08,0,0,30.2,0.0,0.6,1.0,21.30828125,43.66549284590924,1005.5468347245007,64.33242251506758,225055.0
1714174762.12,0,0,28.8,0.0,0.0,0.4,21.3398828125,43.76972065682648,1005.5490495548795,64.31386825492773,226137.6
1714174767.07,0,0,28.8,0.0,0.0,0.4,21.3755078125,43.7638846408095,1005.5626299299618,64.200102401647,229451.8
1714174772.16,0,0,36.2,0.0,0.8,0.8,21.396914062500002,43.61893283799024,1005.5611380378286,64.21260051608758,233150.2
1714174777.08,0,0,33.4,0.0,0.8,0.8,21.4239453125,43.46736341196639,1005.5467762038827,64.33291293488809,233647.2
1714174782.11,0,0,35.0,0.0,1.0,1.0,21.420625,43.482940274564854,1005.5202426251248,64.55519460145494,234743.8
1714174787.08,0,0,32.8,0.0,1.0,1.0,21.425390625,43.67859001777548,1005.5295227280631,64.47745115229979,235182.2
1714174792.1,0,0,33.8,0.0,1.0,1.0,21.449726562499997,43.684997292644816,1005.537679576003,64.40911818916712,238418.0
1714174797.08,0,0,35.6,0.0,1.0,1.0,21.4712890625,43.51802862893711,1005.5197954253065,64.5589411184192,241102.2
1714174802.11,0,0,34.0,0.0,1.0,1.0,21.5060546875,43.40539522298759,1005.5052560657089,64.6807447956551,242096.8
1714174807.09,0,0,35.0,0.0,1.0,1.0,21.524375,43.297129759171206,1005.5133727879274,64.61274671460733,245640.8
1714174812.1,0,0,33.6,0.0,1.0,1.0,21.5353125,43.17586753234856,1005.5283518514258,64.48726012881637,248752.0
1714174817.06,0,0,33.6,0.0,1.0,1.0,21.546953125,43.01561702960209,1005.53394848003,64.44037492983645,250874.4
1714174822.16,0,0,35.6,0.0,1.0,1.0,21.559023437500002,42.891005920641874,1005.4975551808562,64.74526016272395,252374.8
1714174827.08,0,0,33.2,0.0,1.0,1.0,21.581328125000002,42.80181553176864,1005.4800967615705,64.89152073965343,253693.6
1714174832.11,0,0,34.6,0.0,1.0,1.0,21.6044921875,42.764057484993046,1005.4997781902618,64.72663677246916,255507.2
1714174837.08,0,0,35.0,0.0,1.0,1.0,21.612734375000002,42.77718101207554,1005.5253543948514,64.51237129256836,256900.4
1714174842.11,0,0,34.0,0.0,1.2,1.2,21.61328125,42.74792719606594,1005.4983699916056,64.73843359406627,256819.8
1714174847.09,0,0,30.2,0.0,1.2,1.2,21.6151953125,42.71150146785891,1005.4825682721068,64.8708151974414,258068.2
1714174852.12,0,0,36.4,0.0,1.4,1.4,21.601015625,42.75268254833433,1005.4979437773578,64.7420045009919,259286.2
1714174857.08,0,0,35.2,0.0,1.4,1.4,21.59203125,42.74192164172372,1005.4972374591425,64.74792167388964,260152.2
1714174862.11,0,0,37.4,0.0,1.4,1.4,21.578671874999998,42.73678562402564,1005.4943723399668,64.77192437297325,259863.2
1714174867.06,0,0,37.4,0.0,1.4,1.4,21.566640624999998,42.7708790043841,1005.4834651949408,64.86330098549641,259574.4
1714174872.18,0,0,31.6,0.0,1.4,1.4,21.560117187499998,42.876462197406994,1005.4920390128627,64.79147219267267,260933.0
1714174877.04,0,0,37.0,0.0,1.4,1.4,21.560117187499998,42.876462197406994,1005.4920390128627,64.79147219267267,260933.0
1714174882.11,0,0,37.4,0.6,2.0,2.0,21.56609375,43.07524616496297,1005.4941775975183,64.77355585733793,262428.6
1714174887.08,0,0,30.6,0.6,2.0,2.0,21.5796875,43.21875215952784,1005.492710485851,64.78584684714498,263268.8
1714174892.12,0,0,34.8,1.0,2.0,2.0,21.5740234375,43.21444829488823,1005.489254370271,64.81480121178328,264450.2
1714174897.08,0,0,34.6,1.0,2.0,2.0,21.5475390625,43.15395766708353,1005.4694273754209,64.98090647553155,265130.6
1714174902.12,0,0,33.6,1.0,2.0,2.0,21.50921875,43.06281702340934,1005.4744258823605,64.93903003676408,266721.6
1714174907.08,0,0,28.8,1.0,2.0,2.0,21.479609375,42.98247885482412,1005.4930755946659,64.78278838459937,267369.6
1714174912.11,0,0,32.8,1.0,2.0,2.0,21.473984375,42.94395278915165,1005.5128150775481,64.61741891093902,268285.0
1714174917.06,0,0,32.8,1.0,2.0,2.0,21.4667578125,42.93337476574536,1005.5007612261525,64.71840072315231,268677.6
1714174922.16,0,0,31.2,1.0,1.6,1.6,21.4629296875,42.908504554614126,1005.4842755177795,64.85651233104193,267065.2
1714174927.09,0,0,34.0,1.0,1.6,1.6,21.4651171875,42.90874602905716,1005.4591468893877,65.06703511138771,267848.0
1714174932.11,0,0,29.0,0.8,0.8,0.8,21.484101562499998,42.91206421416235,1005.4585453346793,65.07207461939308,269649.2
1714174937.08,0,0,33.8,0.8,0.8,0.8,21.5115234375,42.93220731510455,1005.490692871582,64.80274983695692,272863.4
1714174942.11,0,0,32.2,0.0,0.0,0.0,21.5273828125,43.00121903632521,1005.495673401015,64.76102459587341,272187.2
1714174947.08,0,0,35.8,0.0,0.0,0.0,21.5393359375,43.118775921608986,1005.4912751276388,64.79787181151133,271871.2
1714174952.11,0,0,33.2,0.0,0.0,0.0,21.544765625,43.25897156739322,1005.4650793904327,65.01733315717455,272550.8
1714174957.08,0,0,34.8,0.0,0.0,0.0,21.57484375,43.30764593274172,1005.4652311523041,65.01606182763399,270576.8
1714174962.11,0,0,31.6,0.0,0.0,0.0,21.594140624999998,43.18240073482052,1005.4629409173178,65.0352489752511,274142.4
1714174967.06,0,0,31.6,0.0,0.0,0.0,21.596718749999997,43.01990283337263,1005.4630051763679,65.03471057180522,275880.6
1714174972.15,0,0,32.6,0.0,0.0,0.0,21.5889453125,42.91998095321676,1005.4432265352596,65.20041485249578,276903.8
1714174977.08,0,0,36.6,0.0,0.0,0.0,21.569375,42.883589949508725,1005.4255641323705,65.34839101299133,280008.4
1714174982.11,0,0,35.2,0.0,0.4,0.4,21.529335937499997,42.87061371440611,1005.435466512991,65.26542829182299,283188.0
1714174987.08,0,0,33.2,0.0,0.4,0.4,21.495351562499998,42.863197172409976,1005.4183411639672,65.40890631664283,283527.8
1714174992.11,0,0,36.0,0.0,0.2,0.2,21.5062109375,42.86072962827622,1005.4024674222352,65.54189948672621,281397.4
1714174997.08,0,0,31.4,0.0,0.2,0.2,21.497929687499997,42.82438256982982,1005.4046680024258,65.52346245627407,283442.4
1714175002.11,0,0,29.8,0.0,0.0,0.0,21.4525390625,42.8584752228897,1005.4314729440509,65.29888651051651,286188.4
1714175007.08,0,0,31.8,0.0,0.0,0.0,21.438984375,42.893639951946,1005.443839339215,65.19528046994435,287939.2
1714175012.12,0,0,33.6,0.0,1.0,1.0,21.42109375,42.90877579298636,1005.4461523835741,65.17590218766463,285892.8
1714175017.02,0,0,33.6,0.0,1.0,1.0,21.42109375,42.90877579298636,1005.4461523835741,65.17590218766463,285892.8
1714175022.16,0,0,35.6,0.0,1.0,1.0,21.4098046875,42.95887151794436,1005.4266443462968,65.33934078156305,285791.0
1714175027.08,0,0,37.2,0.0,1.0,1.0,21.439140625,42.992678777234104,1005.4227565330932,65.37191340246201,286786.2
1714175032.11,0,0,35.6,0.0,1.0,1.0,21.49453125,42.94011132953374,1005.4463372953882,65.17435281811747,287689.0
1714175037.08,0,0,32.8,0.0,1.0,1.0,21.545234375,42.8540386746307,1005.4600295386957,65.05964027844561,288344.6
1714175042.1,0,0,35.4,0.0,1.0,1.0,21.580507812500002,42.76630042641915,1005.4730256635091,64.95076072353349,287387.6
1714175047.11,0,0,37.4,0.0,1.0,2.0,21.6072265625,42.72161401396961,1005.4653757986416,65.01484987789021,289255.0
1714175052.08,0,0,31.2,0.0,1.0,2.0,21.6322265625,42.67918990565645,1005.444179864061,65.1924275958996,288951.2
1714175057.11,0,0,32.0,0.0,1.0,2.0,21.6655078125,42.6267010059815,1005.4251117868796,65.35218097672163,290635.0
1714175062.08,0,0,30.2,0.0,1.0,2.0,21.691640625,42.56001723541129,1005.4056819748142,65.51496716697288,288547.4
1714175067.12,0,0,30.2,0.0,1.0,2.0,21.7003125,42.65373266365036,1005.4087864827022,65.48895684004853,285940.8
1714175072.11,0,0,31.0,0.0,1.0,2.0,21.701484375,42.734444050661395,1005.4102615097311,65.47659875614605,287688.6
1714175077.11,0,0,36.2,0.0,1.0,1.0,21.667421875,42.81620876234344,1005.3872501372714,65.66939509008324,287738.8
1714175082.08,0,0,33.4,0.0,1.0,1.0,21.62078125,43.0396985056775,1005.3691087419471,65.8213910032594,287537.6
1714175087.11,0,0,31.0,0.0,1.0,1.0,21.577617187500003,43.130363105245216,1005.3835271041329,65.70058790127663,288343.0
1714175092.08,0,0,31.8,0.0,1.0,1.0,21.5437890625,43.14742059491838,1005.3995554471967,65.56629675881062,288242.0
1714175097.12,0,0,33.2,0.0,1.0,1.0,21.5101171875,43.27839805889663,1005.4093142266432,65.48453528616885,288090.6
1714175102.08,0,0,32.4,0.0,1.0,1.0,21.472187499999997,43.4077511252514,1005.391063152923,65.63744796965936,288849.6
1714175107.12,0,0,30.6,0.0,1.0,1.0,21.44828125,43.390378334853736,1005.3868411055807,65.67282172463001,290276.6
1714175112.08,0,0,31.2,0.0,1.0,1.0,21.4054296875,43.27900815796392,1005.3868903066681,65.6724094840842,293641.4
1714175117.14,0,0,31.2,0.0,1.0,1.0,21.326875,43.26783291271253,1005.387332755269,65.66870245421836,295059.0
1714175122.08,0,0,36.4,0.0,1.0,1.0,21.267109375,43.35796929739959,1005.3792677521784,65.73627446968382,295854.4
1714175127.11,0,0,34.8,0.0,1.0,1.0,21.2213671875,43.422735606054474,1005.371498473655,65.80136867316614,296173.8
1714175132.08,0,0,34.6,0.0,1.0,1.0,21.199296874999998,43.49874032106071,1005.3715769264527,65.80071141444255,295271.0
1714175137.11,0,0,32.8,0.0,1.0,1.0,21.186953124999995,43.566044523099116,1005.3677562137757,65.83272314352375,294005.6
