Time,Latitude,Longitude,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC,counts
1712962879.64,0,0,0.0,2.0,2.0,19.4739453125,46.17839267538227,998.1195245884578,126.74008472388084,41264.0,19.0
1712962884.56,0,0,0.0,2.0,2.5,18.3739453125,45.279308311086055,998.7461816873057,121.46008918169414,62035.0,17.6
1712962889.53,0,0,0.0,2.0,3.0,18.31125,44.80687546429182,998.8846538621638,120.29374226397528,66746.5,21.2
1712962894.56,0,0,0.0,2.0,3.0,18.33908203125,44.17401286937712,998.9893312703006,119.41213278399968,70748.0,21.4
1712962899.56,0,0,0.0,2.0,3.0,18.3739453125,43.84085749897462,999.023173636252,119.12712350521409,72431.0,17.6
1712962904.53,0,0,0.0,2.0,3.0,18.4221875,43.616736229582926,999.0275727201703,119.09007644946828,73608.5,20.8
1712962909.56,0,0,0.0,2.0,3.0,18.54015625,43.35161544188412,999.0249606107868,119.11207441212076,75363.5,17.6
1712962914.52,0,0,0.0,2.0,3.0,18.5895703125,43.16479426532086,999.0374554776379,119.00684886481898,76050.0,17.6
1712962919.58,0,0,0.5,2.0,3.0,18.68390625,42.91905788764562,999.0167060921422,119.1815904188154,77169.0,17.6
1712962924.53,0,0,1.0,2.0,3.0,18.75236328125,42.77730070368885,999.0283466926662,119.08355843838171,77996.0,17.6
1712962929.53,0,0,1.0,2.0,3.0,18.843867187500003,42.64115366121409,999.056195009149,118.84903589290195,78840.0,21.6
1712962934.56,0,0,1.0,2.0,3.0,18.9719921875,42.41486871405445,999.1043462366908,118.44354657466383,79325.5,21.2
1712962939.55,0,0,1.0,2.0,3.0,19.041523437499997,42.258412054334045,999.1301967273068,118.22586168063538,80007.5,20.6
1712962944.6,0,0,1.0,2.0,2.5,19.12267578125,42.042706284520506,999.1093662376902,118.40127306541422,80935.0,19.6
1712962949.53,0,0,1.0,2.0,2.0,19.161250000000003,41.93170485916504,999.1075154195107,118.41685878518115,81526.5,15.2
1712962954.53,0,0,1.0,1.0,2.0,19.18859375,41.80747689658892,999.0971150554467,118.5044403819605,82005.5,16.6
1712962959.56,0,0,1.0,1.0,2.0,19.071406250000003,41.6257585335708,999.0625619568527,118.7954178688613,82530.0,15.6
1712962964.56,0,0,1.0,1.0,2.0,19.05763671875,41.597112767683186,999.0626514304006,118.79466447111265,82612.0,18.6
1712962969.59,0,0,1.0,1.0,2.0,19.12345703125,41.55269106631731,999.085377011653,118.60328752109996,83477.5,16.8
1712962974.52,0,0,1.0,1.0,2.0,19.09513671875,41.49232835733291,999.0780371752205,118.66509745204966,83726.5,18.2
1712962979.55,0,0,1.0,1.0,3.0,19.0622265625,41.47377124709716,999.0770258610246,118.67361389063888,83852.5,21.4
1712962984.65,0,0,1.0,1.0,3.0,18.9075390625,41.548090054566636,999.1035183617091,118.45051796743255,84317.0,19.2
1712962989.62,0,0,1.0,1.0,3.0,18.84416015625,41.65318462464273,999.1259510912569,118.2616134971176,84487.0,20.0
1712962994.64,0,0,1.0,1.0,3.0,18.770527343749997,41.84192022091665,999.1323310395327,118.20788907225351,85044.5,21.2
1712962999.53,0,0,1.0,1.0,3.0,18.72189453125,41.9517539048728,999.1462806362867,118.09042280755651,85478.5,20.2
1712963004.53,0,0,1.0,1.0,2.0,18.6727734375,42.055542705937555,999.1351617720748,118.1840519904849,85697.0,18.2
1712963009.59,0,0,1.0,1.0,2.0,18.6087109375,42.18507210919449,999.0916740890307,118.55025914646927,86139.5,17.8
1712963014.53,0,0,1.0,1.0,2.0,18.6051953125,42.266541392391545,999.0636859093596,118.78595289591452,86404.5,21.8
1712963019.58,0,0,1.0,1.0,2.0,18.57599609375,42.36351812178701,999.0495163526978,118.9052792701089,86897.5,19.8
1712963024.59,0,0,1.0,1.0,2.0,18.571796875,42.42375522531212,999.0411511726943,118.97572577565572,87123.5,20.4
1712963029.56,0,0,1.0,1.0,2.0,18.58107421875,42.48241553931227,999.0268700078933,119.09599436370749,87124.0,19.0
1712963034.57,0,0,1.0,1.0,2.0,18.61359375,42.528395508808394,999.0282362827584,119.08448824042128,87396.0,19.6
1712963039.53,0,0,1.0,1.0,1.0,18.6425,42.51629828536767,999.0374443750992,119.00694238916965,88039.0,18.4
1712963044.6,0,0,1.0,1.5,1.5,18.6891796875,42.52735935702877,999.078936056896,118.65752794633315,88412.0,16.2
1712963049.58,0,0,1.0,2.0,2.0,18.70373046875,42.48032557202846,999.0917879514167,118.54930035497608,88318.0,19.4
1712963054.54,0,0,1.0,2.0,2.0,18.707734375,42.441285282081594,999.082751481186,118.6253974953934,88645.0,16.4
1712963059.58,0,0,1.0,2.0,2.0,18.70744140625,42.44428974287905,999.06249821284,118.79595467124409,89211.5,20.2
1712963064.54,0,0,1.0,2.0,2.0,18.69806640625,42.449360438083474,999.065836852357,118.76783910413639,89354.0,17.2
1712963069.58,0,0,1.0,2.5,2.5,18.735078125,42.45938329505961,999.0508161431933,118.89433320829052,89785.5,21.6
1712963074.58,0,0,1.0,3.0,3.0,18.755878906249997,42.446424722046174,999.053639388345,118.87055788658328,90124.0,20.2
1712963079.54,0,0,1.0,3.0,3.0,18.78546875,42.425297296971706,999.0881981356248,118.5795305133436,90125.0,22.2
1712963084.58,0,0,1.0,3.0,3.0,18.86349609375,42.378990761112796,999.0805773741604,118.64370597416107,90367.0,17.8
1712963089.55,0,0,1.0,3.0,3.0,18.8997265625,42.31306137678564,999.0715060678674,118.72009720562875,90808.0,18.8
